"areaID","productID","qty","amount","profit","saleDate","year","month","category","subCategory","product","country","region","state","district","city"
"A101","P1001",18,111,18,2022-04-21,2022,"Apr","Electronics","Mobile","Iphone 11","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1013",25,306,46,2022-04-17,2022,"Apr","Clothing","Shirts","VanHusen XL","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1004",41,150,22,2020-06-11,2020,"Jun","Electronics","TV","Sony 28","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1013",22,124,12,2020-06-17,2020,"Jun","Clothing","Shirts","VanHusen XL","India","Central",,"Gautam Budha Nagar","Noida"
"A101","P1018",20,125,12,2022-04-04,2022,"Apr","Stationary","Pen","Pilot","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1019",15,261,42,2020-06-04,2020,"Jun","Stationary","Notebooks","Diary","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1011",45,,39,2020-06-24,2020,"Jun","Appliances","AC","Samsung W2T","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1007",33,227,34,2020-06-01,2020,"Jun","Electronics","Tablet","Lenovo 8","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1011",44,91,9,,,,"Appliances","AC","Samsung W2T","India","Central",,"Gautam Budha Nagar","Noida"
"A101","P1004",43,99,15,2022-04-11,2022,"Apr","Electronics","TV","Sony 28","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1016",26,160,16,,,,"Clothing","Trousers","Vimal 34","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1015",43,233,23,2020-06-14,2020,"Jun","Clothing","Trousers","Raymond 36","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1006",39,322,52,2022-03-19,2022,"Mar","Electronics","Laptop","Lenovo 14","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1002",13,244,39,2020-06-21,2020,"Jun","Electronics","Mobile","Samsung F62","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1016",27,82,12,2022-03-26,2022,"Mar","Clothing","Trousers","Vimal 34","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1006",49,148,24,,,,"Electronics","Laptop","Lenovo 14","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1008",26,226,34,2020-06-27,2020,"Jun","Electronics","Tablet","Samsung 10","India","Central",,"Gautam Budha Nagar","Noida"
"A101","P1020",39,218,22,2022-03-16,2022,"Mar","Stationary","Notebooks","Register 100P","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1003",20,118,18,2022-04-01,2022,"Apr","Electronics","TV","Samsung 32","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1007",23,158,24,2022-03-29,2022,"Mar","Electronics","Tablet","Lenovo 8","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1009",40,238,38,2022-03-22,2022,"Mar","Appliances","AC","Daikin S1T","India","Central",,"Gautam Budha Nagar","Noida"
"A101","P1015",29,305,30,2022-04-14,2022,"Apr","Clothing","Trousers","Raymond 36","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1017",22,112,17,2020-06-08,2020,"Jun","Stationary","Pen","Parker","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1014",15,134,13,,,,"Clothing","Shirts","Peter England XXL","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1012",13,112,17,,,,"Appliances","Refrigerator","Samsung 300","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A101","P1010",34,188,30,,,,"Appliances","AC","Voltas W1.5T","India","Central","Uttar Pradesh","Gautam Budha Nagar","Noida"
"A102","P1015",19,275,28,2022-03-06,2022,"Mar","Clothing","Trousers","Raymond 36","India","Central","Maharashtra","Pune","Pune"
"A102","P1003",25,235,24,2022-02-21,2022,"Feb","Electronics","TV","Samsung 32","India","Central","Maharashtra","Pune","Pune"
"A102","P1011",39,278,28,2022-02-28,2022,"Feb","Appliances","AC","Samsung W2T","India","Central","Maharashtra","Pune","Pune"
"A102","P1001",20,97,10,2022-03-13,2022,"Mar","Electronics","Mobile","Iphone 11","India","Central","Maharashtra","Pune","Pune"
"A102","P1006",23,162,24,2022-02-08,2022,"Feb","Electronics","Laptop","Lenovo 14","India","Central","Maharashtra","Pune","Pune"
"A102","P1018",36,,48,,,,"Stationary","Pen","Pilot","India","Central","Maharashtra","Pune","Pune"
"A102","P1007",19,191,19,2022-02-18,2022,"Feb","Electronics","Tablet","Lenovo 8","India","Central","Maharashtra","Pune","Pune"
"A102","P1016",31,127,13,2022-02-15,2022,"Feb","Clothing","Trousers","Vimal 34","India","Central","Maharashtra","Pune","Pune"
"A102","P1004",23,319,48,2022-03-03,2022,"Mar","Electronics","TV","Sony 28","India","Central","Maharashtra","Pune","Pune"
"A102","P1009",40,313,47,2022-02-11,2022,"Feb","Appliances","AC","Daikin S1T","India","Central","Maharashtra","Pune","Pune"
"A102","P1013",38,320,32,2022-03-09,2022,"Mar","Clothing","Shirts","VanHusen XL","India","Central","Maharashtra","Pune","Pune"
"A102","P1020",41,316,51,2022-02-05,2022,"Feb","Stationary","Notebooks","Register 100P","India","Central","Maharashtra","Pune","Pune"
"A103","P1013",31,263,39,2020-11-01,2020,"Nov","Clothing","Shirts","VanHusen XL","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1011",16,229,37,2020-11-07,2020,"Nov","Appliances","AC","Samsung W2T","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1015",38,291,29,2021-08-23,2021,"Aug","Clothing","Trousers","Raymond 36","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1008",26,264,42,2020-11-10,2020,"Nov","Electronics","Tablet","Samsung 10","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1004",44,135,20,2020-10-25,2020,"Oct","Electronics","TV","Sony 28","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1011",32,97,10,2021-08-17,2021,"Aug","Appliances","AC","Samsung W2T","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1013",26,227,34,2021-08-26,2021,"Aug","Clothing","Shirts","VanHusen XL","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1019",29,135,14,2020-10-19,2020,"Oct","Stationary","Notebooks","Diary","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1016",43,107,11,2021-08-04,2021,"Aug","Clothing","Trousers","Vimal 34","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1004",42,218,33,2021-08-20,2021,"Aug","Electronics","TV","Sony 28","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1015",14,133,20,2020-10-28,2020,"Oct","Clothing","Trousers","Raymond 36","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1018",44,126,19,2021-08-13,2021,"Aug","Stationary","Pen","Pilot","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1002",21,198,20,2020-11-04,2020,"Nov","Electronics","Mobile","Samsung F62","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1006",35,163,24,2020-10-03,2020,"Oct","Electronics","Laptop","Lenovo 14","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1014",26,300,45,2020-10-09,2020,"Oct","Clothing","Shirts","Peter England XXL","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1010",32,131,20,2020-09-29,2020,"Sep","Appliances","AC","Voltas W1.5T","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1007",33,244,37,2021-08-07,2021,"Aug","Electronics","Tablet","Lenovo 8","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1016",23,267,27,2020-10-06,2020,"Oct","Clothing","Trousers","Vimal 34","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1009",41,158,16,,,,"Appliances","AC","Daikin S1T","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1007",46,267,40,2020-10-16,2020,"Oct","Electronics","Tablet","Lenovo 8","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1006",24,217,35,2021-07-28,2021,"Jul","Electronics","Laptop","Lenovo 14","India","Central",,"Ghaziabad","Ghaziabad"
"A103","P1017",18,297,48,2020-10-22,2020,"Oct","Stationary","Pen","Parker","India","Central",,"Ghaziabad","Ghaziabad"
"A103","P1001",17,201,30,2021-08-30,2021,"Aug","Electronics","Mobile","Iphone 11","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1012",33,211,32,2020-10-12,2020,"Oct","Appliances","Refrigerator","Samsung 300","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1020",29,158,24,2021-07-25,2021,"Jul","Stationary","Notebooks","Register 100P","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A103","P1003",17,185,28,2021-08-10,2021,"Aug","Electronics","TV","Samsung 32","India","Central","Uttar Pradesh","Ghaziabad","Ghaziabad"
"A104","P1007",34,320,48,2021-06-29,2021,"Jun","Electronics","Tablet","Lenovo 8","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1020",40,82,8,2021-06-16,2021,"Jun","Stationary","Notebooks","Register 100P","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1011",42,345,52,2021-07-09,2021,"Jul","Appliances","AC","Samsung W2T","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1006",28,239,38,2021-06-19,2021,"Jun","Electronics","Laptop","Lenovo 14","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1013",37,197,32,2021-07-19,2021,"Jul","Clothing","Shirts","VanHusen XL","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1015",29,93,9,2021-07-15,2021,"Jul","Clothing","Trousers","Raymond 36","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1003",34,247,37,2021-07-02,2021,"Jul","Electronics","TV","Samsung 32","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1016",40,219,35,2021-06-26,2021,"Jun","Clothing","Trousers","Vimal 34","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1009",24,140,22,2021-06-23,2021,"Jun","Appliances","AC","Daikin S1T","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1001",32,347,52,2021-07-22,2021,"Jul","Electronics","Mobile","Iphone 11","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1018",22,299,45,2021-07-06,2021,"Jul","Stationary","Pen","Pilot","India","Central","Uttar Pradesh","Agra","Agra"
"A104","P1004",38,192,29,2021-07-12,2021,"Jul","Electronics","TV","Sony 28","India","Central","Uttar Pradesh","Agra","Agra"
"A105","P1004",24,338,54,2021-11-06,2021,"Nov","Electronics","TV","Sony 28","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1016",37,169,25,2021-10-21,2021,"Oct","Clothing","Trousers","Vimal 34","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1001",22,291,29,2021-11-16,2021,"Nov","Electronics","Mobile","Iphone 11","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1018",35,203,20,2021-10-30,2021,"Oct","Stationary","Pen","Pilot","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1015",21,104,16,2021-11-09,2021,"Nov","Clothing","Trousers","Raymond 36","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1020",17,167,27,2021-10-11,2021,"Oct","Stationary","Notebooks","Register 100P","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1003",19,149,22,,,,"Electronics","TV","Samsung 32","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1013",42,241,36,2021-11-12,2021,"Nov","Clothing","Shirts","VanHusen XL","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1011",25,284,43,2021-11-03,2021,"Nov","Appliances","AC","Samsung W2T","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1009",34,280,28,2021-10-17,2021,"Oct","Appliances","AC","Daikin S1T","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1006",36,125,19,2021-10-14,2021,"Oct","Electronics","Laptop","Lenovo 14","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A105","P1007",34,150,24,2021-10-24,2021,"Oct","Electronics","Tablet","Lenovo 8","India","Central","Delhi","Gautam Budha Nagar","Delhi"
"A106","P1013",35,170,17,2020-09-16,2020,"Sep","Clothing","Shirts","VanHusen XL","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1010",21,195,31,2020-08-15,2020,"Aug","Appliances","AC","Voltas W1.5T","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1004",34,142,23,2020-09-10,2020,"Sep","Electronics","TV","Sony 28","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1008",40,209,21,2020-09-26,2020,"Sep","Electronics","Tablet","Samsung 10","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1015",25,216,32,2020-09-13,2020,"Sep","Clothing","Trousers","Raymond 36","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1002",27,120,12,2020-09-20,2020,"Sep","Electronics","Mobile","Samsung F62","India","East",,"East Sikkim","Gangtok"
"A106","P1007",34,252,40,2020-08-31,2020,"Aug","Electronics","Tablet","Lenovo 8","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1016",35,153,15,2020-08-21,2020,"Aug","Clothing","Trousers","Vimal 34","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1014",43,202,30,2020-08-25,2020,"Aug","Clothing","Shirts","Peter England XXL","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1012",46,227,34,2020-08-28,2020,"Aug","Appliances","Refrigerator","Samsung 300","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1011",44,275,41,2020-09-23,2020,"Sep","Appliances","AC","Samsung W2T","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1017",32,143,21,2020-09-07,2020,"Sep","Stationary","Pen","Parker","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1019",11,273,41,2020-09-03,2020,"Sep","Stationary","Notebooks","Diary","India","East","Sikkim","East Sikkim","Gangtok"
"A106","P1006",32,123,18,2020-08-18,2020,"Aug","Electronics","Laptop","Lenovo 14","India","East","Sikkim","East Sikkim","Gangtok"
"A107","P1014",45,271,27,2020-04-10,2020,"Apr","Clothing","Shirts","Peter England XXL","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1019",32,110,16,2020-04-20,2020,"Apr","Stationary","Notebooks","Diary","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1015",45,290,29,2020-04-30,2020,"Apr","Clothing","Trousers","Raymond 36","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1012",37,277,44,2020-04-13,2020,"Apr","Appliances","Refrigerator","Samsung 300","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1004",26,123,18,2020-04-26,2020,"Apr","Electronics","TV","Sony 28","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1011",43,158,16,,,,"Appliances","AC","Samsung W2T","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1016",17,180,18,2020-04-07,2020,"Apr","Clothing","Trousers","Vimal 34","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1007",12,104,16,2020-04-17,2020,"Apr","Electronics","Tablet","Lenovo 8","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1008",36,101,15,,,,"Electronics","Tablet","Samsung 10","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1017",48,216,35,2020-04-23,2020,"Apr","Stationary","Pen","Parker","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1010",26,187,28,2020-03-31,2020,"Mar","Appliances","AC","Voltas W1.5T","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1013",41,159,25,,,,"Clothing","Shirts","VanHusen XL","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1006",46,156,25,2020-04-04,2020,"Apr","Electronics","Laptop","Lenovo 14","India","North","Uttarkhand","Nainital","Haldwani"
"A107","P1002",12,137,21,,,,"Electronics","Mobile","Samsung F62","India","North","Uttarkhand","Nainital","Haldwani"
"A108","P1017",45,203,32,2020-12-06,2020,"Dec","Stationary","Pen","Parker","India","North","Punjab","Patiala","Patiala"
"A108","P1016",28,272,27,2020-11-20,2020,"Nov","Clothing","Trousers","Vimal 34","India","North","Punjab","Patiala","Patiala"
"A108","P1014",22,189,30,2020-11-23,2020,"Nov","Clothing","Shirts","Peter England XXL","India","North","Punjab","Patiala","Patiala"
"A108","P1013",42,290,29,2020-12-16,2020,"Dec","Clothing","Shirts","VanHusen XL","India","North","Punjab","Patiala","Patiala"
"A108","P1008",28,213,21,2020-12-26,2020,"Dec","Electronics","Tablet","Samsung 10","India","North","Punjab","Patiala","Patiala"
"A108","P1011",23,202,30,2020-12-23,2020,"Dec","Appliances","AC","Samsung W2T","India","North","Punjab","Patiala","Patiala"
"A108","P1004",34,228,36,2020-12-10,2020,"Dec","Electronics","TV","Sony 28","India","North","Punjab","Patiala","Patiala"
"A108","P1007",12,258,39,2020-11-30,2020,"Nov","Electronics","Tablet","Lenovo 8","India","North","Punjab","Patiala","Patiala"
"A108","P1002",35,131,20,2020-12-19,2020,"Dec","Electronics","Mobile","Samsung F62","India","North","Punjab","Patiala","Patiala"
"A108","P1010",37,225,34,2020-11-14,2020,"Nov","Appliances","AC","Voltas W1.5T","India","North","Punjab","Patiala","Patiala"
"A108","P1012",14,216,22,2020-11-27,2020,"Nov","Appliances","Refrigerator","Samsung 300","India","North","Punjab","Patiala","Patiala"
"A108","P1019",43,158,16,2020-12-03,2020,"Dec","Stationary","Notebooks","Diary","India","North","Punjab","Patiala","Patiala"
"A108","P1006",29,292,47,2020-11-17,2020,"Nov","Electronics","Laptop","Lenovo 14","India","North","Punjab","Patiala","Patiala"
"A108","P1015",48,129,19,2020-12-13,2020,"Dec","Clothing","Trousers","Raymond 36","India","North","Punjab","Patiala","Patiala"
"A109","P1011",30,104,17,2021-09-25,2021,"Sep","Appliances","AC","Samsung W2T","India","North","Himanchal Pradesh","Sirmaur","Nahan"
